atmosphere,feh,filter,flux,logg,teff,wavelength,bolometric_magnitude,mag_g,flux_nu_g,flux_lambda_g,lambda_eff_g,mag_i,flux_nu_i,flux_lambda_i,lambda_eff_i,mag_i_fil,flux_nu_i_fil,flux_lambda_i_fil,lambda_eff_i_fil,mag_r,flux_nu_r,flux_lambda_r,lambda_eff_r,mag_r_fil,flux_nu_r_fil,flux_lambda_r_fil,lambda_eff_r_fil
Phoenix,0,Palomar/ZTF.g,189535.01960094,5.0,3500,4746.4797383749,-70.88391656971805,-14.047960530944188,1.5107208126843812e-14,199711.2756127468,4722.914193098609,-15.35704230538714,5.0444860125865484e-14,283010.71018654807,7805.094878724866,-15.63089844719807,6.491714009736689e-14,308701.73968681955,7890.371624489369,-15.319852323727964,4.8746218348715187e-14,344064.23823273246,6335.333624881107,-15.32035326043475,4.876871405624546e-14,305016.37800603505,6338.606310427084
Phoenix,0,Palomar/ZTF.g,190071.53519678,5.5,3500,4746.4797383749,-70.90883150030626,-14.053232190971407,1.5180737700117213e-14,200683.3072912936,4722.914193098609,-15.331543261531301,4.927394161914336e-14,276441.5081443348,7805.094878724866,-15.596491719943053,6.289218568492843e-14,299072.4345607977,7890.371624489369,-15.361945613805183,5.067319005620023e-14,357665.3354068549,6335.333624881107,-15.3622853710227,5.068904959559568e-14,317026.81957915786,6338.606310427084
Phoenix,0,Palomar/ZTF.g,209652.73827133,-0.5,4000,4746.4797383749,-71.0321254547224,-14.16719367623299,1.6860772575173115e-14,222892.69933475996,4722.914193098609,-15.527731355083638,5.903268571043216e-14,331190.9729840301,7805.094878724866,-15.801106143215726,7.593508043026338e-14,361095.56577696,7890.371624489369,-15.529630641425939,5.913604239742773e-14,417398.4786679523,6335.333624881107,-15.530319607422008,5.917357974009352e-14,370092.000891363,6338.606310427084
Phoenix,0,Palomar/ZTF.g,355698.17491505,0.0,4000,4746.4797383749,-71.55885932122722,-14.737655541977986,2.8514267320872807e-14,376947.25934805034,4722.914193098609,-16.008724817442342,9.193691507152725e-14,515793.51319108985,7805.094878724866,-16.277582163567423,1.1776950927456292e-13,560031.6394189895,7890.371624489369,-16.025477711247305,9.336650121352067e-14,659006.4871633715,6335.333624881107,-16.026079122782654,9.341823315840469e-14,584269.8883722329,6338.606310427084
Phoenix,0,Palomar/ZTF.g,457683.91133262,0.5,4000,4746.4797383749,-71.80801941886811,-15.008764602030823,3.660208631276033e-14,483865.0057796215,4722.914193098609,-16.232568504691848,1.1298672015676889e-13,633889.1976988569,7805.094878724866,-16.498562036912354,1.4435266787396142e-13,686443.0508535763,7890.371624489369,-16.254455852627423,1.1528753169720638e-13,813731.159356217,6335.333624881107,-16.255010669440388,1.1534645927670862e-13,721416.5865400075,6338.606310427084
Phoenix,0,Palomar/ZTF.g,520252.53771706,1.0,4000,4746.4797383749,-71.929164916714,-15.145599085514753,4.151830683883516e-14,548855.4834517587,4722.914193098609,-16.33763178412986,1.244665677222007e-13,698294.5663374013,7805.094878724866,-16.602124605190525,1.5879976012800838e-13,755143.5898106393,7890.371624489369,-16.357179465561963,1.2672776809461278e-13,894479.4995273014,6335.333624881107,-16.357723342242956,1.2679126560309123e-13,792996.3573050875,6338.606310427084
Phoenix,0,Palomar/ZTF.g,553069.47303923,1.5,4000,4746.4797383749,-71.98646487977982,-15.210136505054017,4.4061025610171726e-14,582469.2130756844,4722.914193098609,-16.38717784713031,1.3027801682990573e-13,730898.5290618665,7805.094878724866,-16.651020133723122,1.6611469513648067e-13,789928.4426156847,7890.371624489369,-16.402058810724377,1.3207588343285709e-13,932227.970940414,6335.333624881107,-16.40260164766476,1.3214193409417075e-13,826461.2856847417,6338.606310427084
Phoenix,0,Palomar/ZTF.g,562172.57898931,2.0,4000,4746.4797383749,-72.0039444408483,-15.226400023753207,4.472599485495563e-14,591259.8416950827,4722.914193098609,-16.403526239352253,1.3225451150476111e-13,741987.2536656233,7805.094878724866,-16.6674615491621,1.6864932979628517e-13,801981.440141124,7890.371624489369,-16.41293301527925,1.3340533756639421e-13,941611.624467106,6335.333624881107,-16.41348011928219,1.334725776436707e-13,834783.589927119,6338.606310427084
Phoenix,0,Palomar/ZTF.g,558219.10156199,2.5,4000,4746.4797383749,-71.99706927467102,-15.217560852143166,4.4363350751531827e-14,586465.8310559151,4722.914193098609,-16.399426739881548,1.3175608931539757e-13,739190.956531831,7805.094878724866,-16.664250761499183,1.6815132917336775e-13,799613.2880871495,7890.371624489369,-16.400953839293244,1.3194153602905514e-13,931279.709952926,6335.333624881107,-16.401512676357115,1.320094648677749e-13,825632.777399985,6338.606310427084
Phoenix,0,Palomar/ZTF.g,550442.05227663,3.0,4000,4746.4797383749,-71.9906552856063,-15.201501291085243,4.371198377197358e-14,577855.0189662575,4722.914193098609,-16.39699686651639,1.3146154941710544e-13,737538.4998576338,7805.094878724866,-16.662170657724268,1.678294854584828e-13,798082.818406211,7890.371624489369,-16.396446891207567,1.3139497496078423e-13,927421.9313606046,6335.333624881107,-16.396999787194723,1.3146190305495432e-13,822208.1367443318,6338.606310427084
Phoenix,0,Palomar/ZTF.g,540461.43524028,3.5,4000,4746.4797383749,-71.97225603345355,-15.180631782829828,4.2879796255911995e-14,566853.8313883656,4722.914193098609,-16.3812925222461,1.2957374433494653e-13,726947.3503200494,7805.094878724866,-16.647108804679316,1.6551734900506716e-13,787087.870931751,7890.371624489369,-16.37632178901952,1.2898188380692167e-13,910389.6692125861,6335.333624881107,-16.376872682146022,1.290473447009896e-13,807106.655028797,6338.606310427084
Phoenix,0,Palomar/ZTF.g,544774.8658448,4.0,4000,4746.4797383749,-71.98537874517422,-15.188477513668737,4.319077584765639e-14,570964.8577563977,4722.914193098609,-16.393739801892657,1.3106777313692495e-13,735329.2974843805,7805.094878724866,-16.65933286229442,1.6739140125599311e-13,795999.5880723571,7890.371624489369,-16.3909450020303,1.3073082467839275e-13,922734.175700291,6335.333624881107,-16.39147736563377,1.3079494098749657e-13,818036.7256661401,6338.606310427084
Phoenix,0,Palomar/ZTF.g,560901.208711,4.5,4000,4746.4797383749,-72.02600291164944,-15.21982512067543,4.445596565625212e-14,587690.1632162416,4722.914193098609,-16.434082821066532,1.3602950835963403e-13,763166.1118918902,7805.094878724866,-16.69913363623131,1.7364147027786966e-13,825720.6629275054,7890.371624489369,-16.43495437013162,1.3613874666928974e-13,960904.7789439999,6335.333624881107,-16.435465549949214,1.36202857789702e-13,851859.7047519592,6338.606310427084
Phoenix,0,Palomar/ZTF.g,583265.64562789,5.0,4000,4746.4797383749,-72.07798990555048,-15.262338556272425,4.623122726869433e-14,611158.4148078245,4722.914193098609,-16.47982166656591,1.4188244589820516e-13,796002.8370871927,7805.094878724866,-16.743194178366682,1.8083299337506146e-13,859918.6526690637,7890.371624489369,-16.489974546330593,1.4321543238895365e-13,1010853.9763141542,6335.333624881107,-16.490460120834214,1.4327949704398712e-13,896119.4502787322,6338.606310427084
Phoenix,0,Palomar/ZTF.g,596371.59670722,5.5,4000,4746.4797383749,-72.10644582442897,-15.286705767235233,4.7280526808863567e-14,625029.736888488,4722.914193098609,-16.495634199076108,1.4396392532528973e-13,807680.5574620351,7805.094878724866,-16.75658961897594,1.8307786854929717e-13,870593.7512736374,7890.371624489369,-16.519047516049348,1.4710214530222323e-13,1038287.4668090875,6335.333624881107,-16.519501999809094,1.471637344160619e-13,920412.8120675941,6338.606310427084
Phoenix,0,Palomar/ZTF.g,557928.42474925,-0.5,4500,4746.4797383749,-71.947415313408,-15.222121375442192,4.455008635247601e-14,588934.4013406263,4722.914193098609,-16.269270242865197,1.1687135981450398e-13,655683.1847494965,7805.094878724866,-16.525168400926432,1.4793378200868824e-13,703472.3925921237,7890.371624489369,-16.34828455833702,1.2569379051440625e-13,887181.4009150455,6335.333624881107,-16.348671831166115,1.2573863241260108e-13,786412.8258475644,6338.606310427084
Phoenix,0,Palomar/ZTF.g,970120.54365133,0.0,4500,4746.4797383749,-72.50275116848528,-15.819262200347147,7.721556971791338e-14,1020759.0837468107,4722.914193098609,-16.772947362363414,1.8585700950654175e-13,1042713.25408283,7805.094878724866,-17.023421725627166,2.340823615763668e-13,1113136.4095867581,7890.371624489369,-16.858565167799412,2.011064811924946e-13,1419464.947212356,6335.333624881107,-16.858912336058072,2.0117079603252245e-13,1258191.6245661774,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1268223.622873,0.5,4500,4746.4797383749,-72.76977714202991,-16.107820585718052,1.0072290298250912e-13,1331516.6686763817,4722.914193098609,-17.007488692176043,2.3067231643252133e-13,1294140.4918371541,7805.094878724866,-17.25420548733144,2.895224164844572e-13,1376771.581635172,7890.371624489369,-17.094713439809496,2.499685528400921e-13,1764346.9099451008,6335.333624881107,-17.095038296528397,2.500433556448977e-13,1563857.488539101,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1451510.9197962,1.0,4500,4746.4797383749,-72.90492735732008,-16.252760646150698,1.1510766878252923e-13,1521677.5444114548,4722.914193098609,-17.12206040905685,2.563445942947933e-13,1438169.6272491603,7805.094878724866,-17.366140133677625,3.209638002510215e-13,1526285.4057552987,7890.371624489369,-17.20887439385914,2.776832972351322e-13,1959965.2110383117,6335.333624881107,-17.209184957953884,2.7776273715475396e-13,1737224.07226638,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1563339.1214585,1.5,4500,4746.4797383749,-72.98015779271537,-16.33200811224247,1.2382354825883452e-13,1636898.0003477791,4722.914193098609,-17.18366353060604,2.7130975690508766e-13,1522128.652763931,7805.094878724866,-17.42581638988686,3.390990366239536e-13,1612524.2482175361,7890.371624489369,-17.26890914075249,2.9346996232416044e-13,2071391.8423153393,6335.333624881107,-17.269210670000835,2.935514757392373e-13,1835972.2953745208,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1614446.6647205,2.0,4500,4746.4797383749,-73.01566265382795,-16.365894611048894,1.277490985976124e-13,1688792.2126374969,4722.914193098609,-17.213553344927355,2.7888254817438147e-13,1564614.270324766,7805.094878724866,-17.454657353030996,3.482274007743503e-13,1655932.5359131389,7890.371624489369,-17.296466120834005,3.0101382912489287e-13,2124638.5324596963,6335.333624881107,-17.296764145470185,3.010964660028624e-13,1883161.2698397394,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1633096.2082967,2.5,4500,4746.4797383749,-73.03289321536897,-16.37746268177689,1.2911748934218948e-13,1706881.7933754872,4722.914193098609,-17.231345244527688,2.8349023099984397e-13,1590464.7451896942,7805.094878724866,-17.472107434030853,3.538693705978541e-13,1682761.9048157718,7890.371624489369,-17.3117703813399,3.0528688847979304e-13,2154798.9625744917,6335.333624881107,-17.312069087929856,3.0537089023858114e-13,1909894.9950090458,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1625605.1894064,3.0,4500,4746.4797383749,-73.03697337576871,-16.371670752502915,1.2843053775415543e-13,1697800.566931886,4722.914193098609,-17.241796627067824,2.862323069209494e-13,1605848.6089149811,7805.094878724866,-17.48290402377755,3.574058111351551e-13,1699578.809327067,7890.371624489369,-17.319962896894413,3.0759916963940066e-13,2171119.6800108477,6335.333624881107,-17.320265342033363,3.0768486709701767e-13,1924367.4053198055,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1600790.5820139,3.5,4500,4746.4797383749,-73.03281903721683,-16.35419520319418,1.2637992150249732e-13,1670692.236658526,4722.914193098609,-17.248678913064317,2.8805244456199345e-13,1616060.123926498,7805.094878724866,-17.49061414253969,3.59952883556678e-13,1711690.952382863,7890.371624489369,-17.32499343671901,3.090276751718118e-13,2181202.465598527,6335.333624881107,-17.325303003277902,3.091157981181565e-13,1933316.9420400246,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1567294.6372533,4.0,4500,4746.4797383749,-73.02575381591379,-16.330603362413633,1.2366344617186086e-13,1634781.514512057,4722.914193098609,-17.256160483842372,2.9004420548472485e-13,1627234.4967339074,7805.094878724866,-17.499299782785897,3.6284397255023067e-13,1725439.004138694,7890.371624489369,-17.33127373246017,3.108203842370997e-13,2193855.900055919,6335.333624881107,-17.331593626212214,3.1091197568218304e-13,1944550.8567625498,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1525259.3507229,4.5,4500,4746.4797383749,-73.01188954318005,-16.300337149179036,1.2026378267973143e-13,1589839.31692223,4722.914193098609,-17.259857545288334,2.9103352406222825e-13,1632784.8690121013,7805.094878724866,-17.504574314870503,3.6461096569686056e-13,1733841.6210371153,7890.371624489369,-17.33272381201465,3.1123578477103355e-13,2196787.9114633882,6335.333624881107,-17.33306178595266,3.1133268303882864e-13,1947182.1058452413,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1495875.7727396,5.0,4500,4746.4797383749,-73.00381905764459,-16.278577163741012,1.1787748614035492e-13,1558293.4269160975,4722.914193098609,-17.268718492399426,2.9341843539447095e-13,1646164.9328716474,7805.094878724866,-17.51507450687417,3.6815423675904663e-13,1750691.006876329,7890.371624489369,-17.337087849849812,3.1248929191063063e-13,2205635.510184164,6335.333624881107,-17.33744973300604,3.1259346404634015e-13,1955067.4656258263,6338.606310427084
Phoenix,0,Palomar/ZTF.g,1481976.597259,5.5,4500,4746.4797383749,-73.00311252439727,-16.26829809193132,1.1676676189189766e-13,1543610.0946517293,4722.914193098609,-17.279471192976068,2.963387722162985e-13,1662548.8934152424,7805.094878724866,-17.52715072182068,3.722719281928887e-13,1770271.9450879323,7890.371624489369,-17.34124784184263,3.1368888948439605e-13,2214102.600337719,6335.333624881107,-17.34163130435639,3.1379969832897623e-13,1962611.67135354,6338.606310427084
Spectrum,0,Palomar/ZTF.g,2336316.3397087,0.0,4750,4746.4797383749,-73.38874955314853,-16.769627977773222,1.8528966286194942e-13,2449455.5590495234,4722.914193098609,-17.658891459875676,4.2029728437448456e-13,2357993.116513962,7805.094878724866,-17.913600099650115,5.314226244673499e-13,2527084.3483855254,7890.371624489369,-17.680522582054195,4.2875483724452083e-13,3026269.7592217107,6335.333624881107,-17.681038637081063,4.289586746772075e-13,2682855.6749192216,6338.606310427084
Spectrum,0,Palomar/ZTF.g,2433132.9131687,0.5,4750,4746.4797383749,-73.41109974793333,-16.811791705812443,1.926267877216302e-13,2546449.4279863765,4722.914193098609,-17.645903299490918,4.152994154235591e-13,2329953.5811144877,7805.094878724866,-17.896437100306393,5.230880999651815e-13,2487451.0218184157,7890.371624489369,-17.672306546730972,4.255225880213195e-13,3003455.653749908,6335.333624881107,-17.672802445059872,4.2571698527578217e-13,2662581.0300166938,6338.606310427084
Spectrum,0,Palomar/ZTF.g,2503120.2452994,1.0,4750,4746.4797383749,-73.42910001793658,-16.84105253113183,1.9788870773327256e-13,2616009.9151971177,4722.914193098609,-17.633388541669273,4.1053994204213346e-13,2303251.515959973,7805.094878724866,-17.88008015808017,5.152666844512939e-13,2450257.6924091224,7890.371624489369,-17.664457671391116,4.224575426989093e-13,2981821.719473001,6335.333624881107,-17.664931101250595,4.226417933722455e-13,2643347.7179591223,6338.606310427084
Spectrum,0,Palomar/ZTF.g,2552958.3242954,1.5,4750,4746.4797383749,-73.44388974029133,-16.861140137896847,2.0158399840750708e-13,2664860.186413011,4722.914193098609,-17.62123057954419,4.059684016700865e-13,2277603.8110379786,7805.094878724866,-17.86433400447919,5.078478308315748e-13,2414978.673409608,7890.371624489369,-17.65706954683233,4.195925984817336e-13,2961600.1539228233,6335.333624881107,-17.65751847321215,4.197661260230199e-13,2625362.3013619278,6338.606310427084
Spectrum,0,Palomar/ZTF.g,2581708.1388704,2.0,4750,4746.4797383749,-73.45386555919967,-16.87210505643082,2.0363012252234176e-13,2691909.132426374,4722.914193098609,-17.608678762616286,4.0130216713902043e-13,2251424.8436419154,7805.094878724866,-17.848580721875976,5.005325079641872e-13,2380191.976211515,7890.371624489369,-17.648834713706155,4.1642221077033613e-13,2939222.6840436007,6335.333624881107,-17.649260098957548,4.1658539458217284e-13,2605468.908594217,6338.606310427084
Spectrum,0,Palomar/ZTF.g,2592848.3407957,2.5,4750,4746.4797383749,-73.45951382548313,-16.875562684216156,2.0427963522816792e-13,2700495.4317556815,4722.914193098609,-17.59528466867311,3.963819478317968e-13,2223820.9459021543,7805.094878724866,-17.832287195310343,4.930771511829083e-13,2344739.37301743,7890.371624489369,-17.63979280793162,4.1296868726449405e-13,2914846.763725923,6335.333624881107,-17.64019453454614,4.1312151555520863e-13,2583804.6130493893,6338.606310427084
