atmosphere,feh,filter,flux,logg,teff,wavelength,bolometric_magnitude,mag_g,flux_nu_g,flux_lambda_g,lambda_eff_g,mag_i,flux_nu_i,flux_lambda_i,lambda_eff_i,mag_i_fil,flux_nu_i_fil,flux_lambda_i_fil,lambda_eff_i_fil,mag_r,flux_nu_r,flux_lambda_r,lambda_eff_r,mag_r_fil,flux_nu_r_fil,flux_lambda_r_fil,lambda_eff_r_fil
Phoenix,0,Palomar/ZTF.g,1180.2973040848,-0.5,3000,4746.4797383749,,,-1.1589791244809091e-14,-153212.4250988151,4722.914193098609,,-3.8569461327671403e-14,-216386.1811613975,7805.094878724866,,-4.853157275610551e-14,-230783.1324219858,7890.371624489369,,-4.516693212239609e-14,-318800.6499874742,6335.333624881107,,-4.517707290976589e-14,-282553.01404829,6338.606310427084
Phoenix,0,Palomar/ZTF.g,2513.4896957598,0.0,3000,4746.4797383749,,,-1.8389490589999965e-14,-243101.74274171272,4722.914193098609,,-5.412360283094175e-14,-303649.5539252263,7805.094878724866,,-6.748920205223194e-14,-320932.71595684974,7890.371624489369,,-6.566231667793115e-14,-463462.72046730545,6335.333624881107,,-6.566791975773172e-14,-410709.8459187116,6338.606310427084
Phoenix,0,Palomar/ZTF.g,4554.6412017394,0.5,3000,4746.4797383749,,,-2.392856773029835e-14,-316326.136826863,4722.914193098609,,-6.710457872355049e-14,-376476.70018185646,7805.094878724866,,-8.363963962735977e-14,-397733.20606882195,7890.371624489369,,-8.066252306998173e-14,-569338.3095990453,6335.333624881107,,-8.066947372567631e-14,-504534.7446127247,6338.606310427084
Phoenix,0,Palomar/ZTF.g,7386.3980628543,1.0,3000,4746.4797383749,,,-2.7363467434708103e-14,-361734.1431116639,4722.914193098609,,-7.404611941645026e-14,-415420.8137423792,7805.094878724866,,-9.217869373896657e-14,-438339.1362681381,7890.371624489369,,-8.873031755628172e-14,-626283.025685318,6335.333624881107,,-8.873960753065028e-14,-555008.1481225716,6338.606310427084
Phoenix,0,Palomar/ZTF.g,11053.783835585,1.5,3000,4746.4797383749,,,-2.9303348033022186e-14,-387378.59214373416,4722.914193098609,,-7.783985989443673e-14,-436704.8292844876,7805.094878724866,,-9.687914029469895e-14,-460691.2612521277,7890.371624489369,,-9.28239847831206e-14,-655177.2567394024,6335.333624881107,,-9.283619990751774e-14,-580629.6514395988,6338.606310427084
Phoenix,0,Palomar/ZTF.g,14350.502134193,2.0,3000,4746.4797383749,,,-2.964715288478383e-14,-391923.55537788494,4722.914193098609,,-7.845056696836595e-14,-440131.07810899435,7805.094878724866,,-9.76580891948065e-14,-464395.41211628576,7890.371624489369,,-9.329512718359433e-14,-658502.7095972733,6335.333624881107,,-9.330951975989395e-14,-583589.9572381818,6338.606310427084
Phoenix,0,Palomar/ZTF.g,19305.419057062,2.5,3000,4746.4797383749,,,-2.860814221676976e-14,-378188.2480899928,4722.914193098609,,-7.563139149513677e-14,-424314.66290180886,7805.094878724866,,-9.416522127508112e-14,-447785.7093213341,7890.371624489369,,-8.997140530801049e-14,-635042.9649450942,6335.333624881107,,-8.998668648539983e-14,-562807.8105337347,6338.606310427084
Phoenix,0,Palomar/ZTF.g,27942.874526717,3.0,3000,4746.4797383749,-68.8591329322409,-11.970540568895743,2.2295449240503695e-15,29473.696071403,4722.914193098609,-13.707369040657689,1.1039454561652507e-14,61934.63254274016,7805.094878724866,-14.02032637960832,1.472755156006115e-14,70034.21255309762,7890.371624489369,-13.305423850052222,7.623765687535968e-15,53810.63849881277,6335.333624881107,-13.306988068641402,7.634757151593016e-15,47750.407579925755,6338.606310427084
Phoenix,0,Palomar/ZTF.g,34496.846685856,3.5,3000,4746.4797383749,-69.09051665549721,-12.201583070193074,2.7582474673489776e-15,36462.93315977347,4722.914193098609,-13.888294389275764,1.3041206017807594e-14,73165.05522227351,7805.094878724866,-14.196910649725496,1.7328631241051016e-14,82403.1773808963,7890.371624489369,-13.555646149567217,9.599717654624615e-15,67757.4518388212,6335.333624881107,-13.556969506934614,9.611425473031731e-15,60113.17382447254,6338.606310427084
Phoenix,0,Palomar/ZTF.g,38502.103113317,4.0,3000,4746.4797383749,-69.21543916197675,-12.323333451221849,3.0855556278663655e-15,40789.816704803816,4722.914193098609,-13.959529366924095,1.3925530434099285e-14,78126.37894218386,7805.094878724866,-14.263118459069155,1.841820844121426e-14,87584.46504558703,7890.371624489369,-13.695703986589663,1.0921482510519271e-14,77086.8323255883,6335.333624881107,-13.696794423250616,1.0932456785157448e-14,68375.35981511473,6338.606310427084
Phoenix,0,Palomar/ZTF.g,38631.782535802,4.5,3000,4746.4797383749,-69.22636216436081,-12.33019730005234,3.105123800157377e-15,41048.50015027141,4722.914193098609,-13.914572382321133,1.336069201469474e-14,74957.46694961474,7805.094878724866,-14.212583474458192,1.7580587732742604e-14,83601.31098927648,7890.371624489369,-13.721132229206127,1.1180285444333183e-14,78913.534730236,6335.333624881107,-13.72198348513696,1.1189054624334444e-14,69980.21130698874,6338.606310427084
Phoenix,0,Palomar/ZTF.g,37333.086685256,5.0,3000,4746.4797383749,-69.19377760018688,-12.296994161323767,3.0116026077822337e-15,39812.18722803943,4722.914193098609,-13.809680883523058,1.2130322670934107e-14,68054.72798075574,7805.094878724866,-14.099810110227487,1.584616026893423e-14,75353.55431615157,7890.371624489369,-13.700807305671667,1.0972937922701422e-14,77450.018800255,6335.333624881107,-13.701369407311077,1.097862024521406e-14,68664.08203498821,6338.606310427084
Phoenix,0,Palomar/ZTF.g,34580.25173171,5.5,3000,4746.4797383749,-69.117045899064,-12.21858958673581,2.8017916373640886e-15,37038.56974769893,4722.914193098609,-13.642382916124205,1.0398080287204706e-14,58336.33157701338,7805.094878724866,-13.920852987644544,1.3438202929485876e-14,63902.94791752646,7890.371624489369,-13.637485098068439,1.035127959257876e-14,73062.18304519025,6335.333624881107,-13.637688289799321,1.035321697960921e-14,64752.59405423207,6338.606310427084
Phoenix,0,Palomar/ZTF.g,32644.576044079,-0.5,3500,4746.4797383749,-68.82053406389691,-12.152153705743672,2.6354906651820104e-15,34840.13711797243,4722.914193098609,-13.624860176815822,1.0231612191380373e-14,57402.39591131629,7805.094878724866,-13.941940402017927,1.3701753837078936e-14,65156.21667748709,7890.371624489369,-13.210346875275583,6.98455513751582e-15,49298.91434023904,6335.333624881107,-13.212474161891443,6.998253415163802e-15,43769.493421536456,6338.606310427084
Phoenix,0,Palomar/ZTF.g,62915.961136679,0.0,3500,4746.4797383749,-69.55732271358511,-12.860888648428663,5.062388365436419e-15,66922.75830316877,4722.914193098609,-14.291536813001038,1.890665612029275e-14,106071.9796329318,7805.094878724866,-14.60091981745179,2.5140153611165488e-14,119549.46173106987,7890.371624489369,-13.953788439228767,1.3852092267794761e-14,97771.88334803302,6335.333624881107,-13.955594741416007,1.3875156700336485e-14,86780.0212267607,6338.606310427084
Phoenix,0,Palomar/ZTF.g,78998.573537558,0.5,3500,4746.4797383749,-69.80475956879775,-13.10466802571289,6.336759291230994e-15,83769.43447637926,4722.914193098609,-14.501534209094395,2.29410707166092e-14,128706.24875850021,7805.094878724866,-14.805629748762406,3.0356514123300827e-14,144354.92239237716,7890.371624489369,-14.19589973654518,1.7312504313612323e-14,122196.42487858587,6335.333624881107,-14.197528354573869,1.733849277551615e-14,108440.92096364143,6338.606310427084
Phoenix,0,Palomar/ZTF.g,88483.745760045,1.0,3500,4746.4797383749,-69.9207821649503,-13.224687376778284,7.077419702063531e-15,93560.67017004744,4722.914193098609,-14.60394176789243,2.5210224152875227e-14,141436.87629751107,7805.094878724866,-14.90645396101231,3.33105331945209e-14,158402.2267712505,7890.371624489369,-14.29681115670585,1.899872526916553e-14,134098.2369209917,6335.333624881107,-14.298358974777535,1.9025829036220478e-14,118994.10459125793,6338.606310427084
Phoenix,0,Palomar/ZTF.g,92481.313954956,1.5,3500,4746.4797383749,-69.96863655543396,-13.269970055169459,7.37883878857477e-15,97545.31046597514,4722.914193098609,-14.646543558258259,2.6219078467734487e-14,147096.8498886894,7805.094878724866,-14.948247953127158,3.461777742089087e-14,164618.59068177853,7890.371624489369,-14.332076682852822,1.962594932486824e-14,138525.35710050585,6335.333624881107,-14.333564792882939,1.9652867093326513e-14,122915.81712257146,6338.606310427084
Phoenix,0,Palomar/ZTF.g,94685.192235634,2.0,3500,4746.4797383749,-70.00066228716683,-13.2933449851526,7.539420985085902e-15,99668.14315859888,4722.914193098609,-14.674460301659948,2.6901972268197592e-14,150928.08777831448,7805.094878724866,-14.975436925133337,3.549562030073933e-14,168793.01401241904,7890.371624489369,-14.355562360623978,2.005510519139994e-14,141554.45743491626,6335.333624881107,-14.356991938730616,2.0081528941888382e-14,125596.81634446849,6338.606310427084
Phoenix,0,Palomar/ZTF.g,99083.818797395,2.5,3500,4746.4797383749,-70.05626850454718,-13.340985400433418,7.877604267381035e-15,104138.79148296117,4722.914193098609,-14.72031005019604,2.8062348910130412e-14,157438.14681501116,7805.094878724866,-15.020300464576188,3.699305394914331e-14,175913.78938290768,7890.371624489369,-14.404775815530677,2.0985065360522326e-14,148118.37250391586,6335.333624881107,-14.4061369180356,2.101138919118754e-14,131412.48343312522,6338.606310427084
Phoenix,0,Palomar/ZTF.g,110672.90292708,3.0,3500,4746.4797383749,-70.18207877600187,-13.460137335577897,8.791337120735017e-15,116217.97594778278,4722.914193098609,-14.821545298662876,3.080478056366676e-14,172824.00630533072,7805.094878724866,-15.119271319598788,4.0523647397802473e-14,192702.88911979177,7890.371624489369,-14.529864969553223,2.3547564101926605e-14,166205.1945651976,6335.333624881107,-14.531109911669844,2.3574580026774103e-14,147443.56401292482,6338.606310427084
Phoenix,0,Palomar/ZTF.g,131072.37828529,3.5,3500,4746.4797383749,-70.3733833157525,-13.643421218931678,1.0408028854726731e-14,137589.99689018063,4722.914193098609,-14.972692666650751,3.540601643857983e-14,198638.3118549118,7805.094878724866,-15.26659428524443,4.641279408909686e-14,220707.6629922501,7890.371624489369,-14.726243099416813,2.8216116497956816e-14,199157.12351892475,6335.333624881107,-14.72731821470935,2.824407043610786e-14,176648.16945210606,6338.606310427084
Phoenix,0,Palomar/ZTF.g,161225.48376691,4.0,3500,4746.4797383749,-70.64603520560337,-13.86935743767583,1.2815718960246166e-14,169418.701321615,4722.914193098609,-15.206009618079896,4.389386738903957e-14,246257.68713821206,7805.094878724866,-15.494107750830914,5.723255052369308e-14,272159.0613338568,7890.371624489369,-15.036144643592912,3.753685281300968e-14,264945.44820629724,6335.333624881107,-15.036993813982953,3.756622242607229e-14,234952.1270246057,6338.606310427084
Phoenix,0,Palomar/ZTF.g,180492.18171343,4.5,3500,4746.4797383749,-70.80489451463541,-13.99321562283189,1.436435894958702e-14,189891.10529853613,4722.914193098609,-15.324300560307684,4.8946340165874324e-14,274603.5662863044,7805.094878724866,-15.605803845292222,6.343391824312811e-14,301648.54593770683,7890.371624489369,-15.221588667809826,4.45282335765692e-14,314292.5396955489,6335.333624881107,-15.22225580510166,4.4555602631365246e-14,278666.1243276066,6338.606310427084
