                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "9b2017c"                               "gfortran"                                 "13.3.0"                                       ""                                 "CRMATH"                               "20241205"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21 
                                      60                                      567                  2.8173257176583335E+000                 -3.2830648319013606E-001                  5.0000000000000000E+000                  1.9942890745190764E+000                 -9.9999999999999997E+098                  1.3926235005298413E+000                 -3.8126651592374641E+000                 -3.2109995852482287E+000                 -1.4396546769093832E+000                 -3.4378851832924107E-001                  6.9429979250152929E-001                  4.7158200337184098E+003                  3.6735572230866742E+000                  2.6233504338873552E+000                  1.4872139316348252E+000                  2.1626097683695011E+000                                        0                                        2                  1.4987800968210703E+000 
                                      65                                      567                  7.0104823457635828E+000                  6.7599747047987935E-002                  5.0000000000000000E+000                  1.9942467059739175E+000                 -9.9999999999999997E+098                  1.3925993025007213E+000                 -3.8123511875113016E+000                 -3.2107037840381052E+000                 -1.4394364376459299E+000                 -3.4361932245444948E-001                  6.9437445059321323E-001                  4.7159050696302238E+003                  3.6735650542367262E+000                  2.6232417926149538E+000                  1.4871439486985223E+000                  2.1627497342421074E+000                                        0                                        2                  1.4987967038133809E+000 
                                      70                                      567                  1.7444397846610435E+001                  4.6350597728611193E-001                  5.0000000000000000E+000                  1.9941413807981894E+000                 -9.9999999999999997E+098                  1.3925391476531910E+000                 -3.8115705046572668E+000                 -3.2099682715122686E+000                 -1.4388937401888260E+000                 -3.4319854319915177E-001                  6.9456022306145204E-001                  4.7161164694078734E+003                  3.6735845219100227E+000                  2.6229716495436310E+000                  1.4869699418162665E+000                  2.1630977480066185E+000                                        0                                        2                  1.4988379944682648E+000 
                                      75                                      567                  4.3407318465677669E+001                  8.5941220752423608E-001                  5.0000000000000000E+000                  1.9938799281576483E+000                 -9.9999999999999997E+098                  1.3923898210408858E+000                 -3.8096314857649860E+000                 -3.2081413786482234E+000                 -1.4375454896097646E+000                 -3.4215293479166475E-001                  6.9502250867379667E-001                  4.7166412757711760E+003                  3.6736328472278230E+000                  2.6223006230429351E+000                  1.4865377779303188E+000                  2.1639620757785138E+000                                        0                                        2                  1.4989405358191066E+000 
                                      80                                      567                  1.0801137310051504E+002                  1.2553184377623601E+000                  5.0000000000000000E+000                  1.9932333647498086E+000                 -9.9999999999999997E+098                  1.3920205215537695E+000                 -3.8048283934611749E+000                 -3.2036155502651358E+000                 -1.4342033970585690E+000                 -3.3955929537232854E-001                  6.9617381410673751E-001                  4.7179393593473287E+003                  3.6737523545084394E+000                  2.6206380114845467E+000                  1.4854674575898910E+000                  2.1661027164593696E+000                                        0                                        2                  1.4991944359819462E+000 
                                      85                                      566                  2.6876693432947360E+002                  1.6512246680004841E+000                  5.0000000000000000E+000                  1.9916752709154109E+000                 -9.9999999999999997E+098                  1.3911290675293606E+000                 -3.7929885420318605E+000                 -3.1924423386458103E+000                 -1.4258844970957487E+000                 -3.3304942172764918E-001                  6.9919792998712049E-001                  4.7210700464872089E+003                  3.6740404441036110E+000                  2.6165253084465800E+000                  1.4828349268805647E+000                  2.1713677778780225E+000                                        0                                        3                  1.4998169728220230E+000 
                                      90                                      567                  6.6877821244671566E+002                  2.0471308982386081E+000                  5.0000000000000000E+000                  1.9877673579592354E+000                 -9.9999999999999997E+098                  1.3889017366562477E+000                 -3.7644558341764078E+000                 -3.1655902128734201E+000                 -1.4061851094044868E+000                 -3.1785365668566801E-001                  7.0573279759269525E-001                  4.7289244973185041E+003                  3.6747623800632776E+000                  2.6066753904868691E+000                  1.4764660959813765E+000                  2.1841054396763990E+000                                        0                                        3                  1.5013313864005364E+000 
                                      95                                      566                  1.6641342760114112E+003                  2.4430371284767323E+000                  5.0000000000000000E+000                  1.9784055891622918E+000                 -9.9999999999999997E+098                  1.3835857032095948E+000                 -3.6982085729968146E+000                 -3.1033886870441174E+000                 -1.3611102554392498E+000                 -2.8348461236809674E-001                  7.1958599801826617E-001                  4.7477765549690785E+003                  3.6764902715236181E+000                  2.5839211935338091E+000                  1.4616332145841660E+000                  2.2137712024708196E+000                                        0                                        4                  1.5048739317068927E+000 
                                     100                                      572                  4.1408986761007136E+003                  2.8389433587148560E+000                  5.0000000000000000E+000                  1.9545241575123433E+000                 -9.9999999999999997E+098                  1.3680296046798446E+000                 -3.5503952760956046E+000                 -2.9639007232631061E+000                 -1.2534408360532736E+000                 -1.9973594469420330E-001                  7.5249546640246834E-001                  4.7866573936281766E+003                  3.6800323438426048E+000                  2.5343484474333047E+000                  1.4297626968959396E+000                  2.2775122378472727E+000                                        0                                        4                  1.5124287391609303E+000 
                                     105                                      578                  1.0303881068130926E+004                  3.2348495889529802E+000                  5.0000000000000000E+000                  1.9089309156639958E+000                 -9.9999999999999997E+098                  1.3383630298139315E+000                 -3.2753412381935121E+000                 -2.7047733523434476E+000                 -1.0537326539692087E+000                 -4.4397072525950820E-002                  8.1283934826279536E-001                  4.8607354125472248E+003                  3.6867019814945960E+000                  2.4425641290118065E+000                  1.3705312623812087E+000                  2.3959751068767345E+000                                        0                                        4                  1.5264982722691685E+000 
                                     110                                      587                  2.2296818249024440E+004                  3.4793078550218413E+000                  5.0000000000000000E+000                  1.8527078207931216E+000                 -9.9999999999999997E+098                  1.3021504556362307E+000                 -2.9291822405402326E+000                 -2.3786248753833417E+000                 -8.0044221545736671E-001                  1.5587732263800236E-001                  8.9992421342486240E-001                  4.9536035402047228E+003                  3.6949212450452573E+000                  2.3265897678988443E+000                  1.2961055547234053E+000                  2.5448265221923414E+000                                        0                                        5                  1.5441232363605195E+000 
                                     115                                      595                  3.9851568598599290E+004                  3.5777839744143165E+000                  5.0000000000000000E+000                  1.8060793324050317E+000                 -9.9999999999999997E+098                  1.2705205565500597E+000                 -2.6246096355899473E+000                 -2.0890508597349751E+000                 -5.6824745950867595E-001                  3.4135216052747031E-001                  9.9134978013211406E-001                  5.0402366430179154E+003                  3.7024509273868333E+000                  2.2234121212739661E+000                  1.2294573667278137E+000                  2.6781228981835241E+000                                        0                                        4                  1.5599628696235452E+000 
                                     120                                      601                  6.6143503235772383E+004                  3.8047602019069244E+000                  5.0000000000000000E+000                  1.7652906553825192E+000                 -9.9999999999999997E+098                  1.2406305734572274E+000                 -2.3605673145465653E+000                 -1.8359072326212735E+000                 -3.6148445658947748E-001                  5.0300489599174059E-001                  1.0665426200193382E+000                  5.1275327824121077E+003                  3.7099084456713487E+000                  2.1341106636656186E+000                  1.1698916013546092E+000                  2.7972544289299330E+000                                        0                                        4                  1.5743620085256891E+000 
                                     125                                      608                  1.0178979884738973E+005                  3.8582964437135909E+000                  5.0000000000000000E+000                  1.7235400936608207E+000                 -9.9999999999999997E+098                  1.2105346540873005E+000                 -2.1738071358601787E+000                 -1.6608016962866585E+000                 -2.3350357535675240E-001                  5.8677949463620749E-001                  1.0646137634862067E+000                  5.2178389851408829E+003                  3.7174906732801571E+000                  2.0761068168797432E+000                  1.1257252227440546E+000                  2.8855871861510427E+000                                        0                                        4                  1.5857228617506918E+000 
                                     130                                      613                  1.4927993131901219E+005                  4.0263265534783388E+000                  5.0000000000000000E+000                  1.6590135053794595E+000                 -9.9999999999999997E+098                  1.1699498730355673E+000                 -2.1080136738403952E+000                 -1.6189500414965030E+000                 -2.5596268588147775E-001                  5.1469444574003076E-001                  9.0752275810468808E-001                  5.3330786157086550E+003                  3.7269779857299064E+000                  2.0756000673843742E+000                  1.1064972230968719E+000                  2.9240431854454076E+000                                        0                                        5                  1.5927310276555162E+000 
                                     135                                      618                  2.0253545249230508E+005                  3.9923235552778493E+000                  5.0000000000000000E+000                  1.5571994072176374E+000                 -9.9999999999999997E+098                  1.1091026669173234E+000                 -2.2123441635852270E+000                 -1.7642474232849132E+000                 -4.9853379858491548E-001                  2.0321599909958410E-001                  4.8720794341517126E-001                  5.5061398220595211E+003                  3.7408472356039666E+000                  2.1580579025470361E+000                  1.1199876409300813E+000                  2.8970623497789889E+000                                        0                                        5                  1.5946560637693354E+000 
                                     140                                      635                  2.5587050324641619E+005                  4.0152997626715949E+000                  5.0000000000000000E+000                  1.4030626825613099E+000                 -9.9999999999999997E+098                  1.0193714928756354E+000                 -2.2406412196741128E+000                 -1.8569500299884383E+000                 -7.3080390892551783E-001                 -1.2232394734644547E-001                  3.4892147020586073E-002                  5.7654060073087785E+003                  3.7608298962838123E+000                  2.2310314148451211E+000                  1.1165090757194334E+000                  2.9040194802002852E+000                                        0                                        5                  1.6020129134514991E+000 
                                     145                                      686                  3.0613467966090696E+005                  3.9960497548066440E+000                  5.0000000000000000E+000                  1.0899056514740066E+000                 -9.9999999999999997E+098                  8.1766435599388199E-001                 -2.1425681924862139E+000                 -1.8703268970060893E+000                 -1.0340649525163272E+000                 -5.8694816565671881E-001                 -4.9843448628140075E-001                  6.3718811847285333E+003                  3.8042676689969754E+000                  2.3170650164048832E+000                  1.0726503310729876E+000                  2.9917369694931764E+000                                        0                                        8                  1.6252656435533916E+000 
                                     150                                      708                  3.3742670920855121E+005                  3.8270079671202315E+000                  5.0000000000000000E+000                  7.8287217492738059E-001                 -9.9999999999999997E+098                  6.1070002407717316E-001                 -2.0123863294158006E+000                 -1.8402141785655934E+000                 -1.2655965708454846E+000                 -9.4644952096522839E-001                 -8.4306449406273110E-001                  6.9311923403669098E+003                  3.8408079506723678E+000                  2.3878056617953680E+000                  1.0349400904174453E+000                  3.0671574508042614E+000                                        1                                        7                  1.6449916651083578E+000 
                                     155                                      716                  3.8214006122055830E+005                  3.9140265623278623E+000                  5.0000000000000000E+000                  4.2736431714966072E-001                 -9.9999999999999997E+098                  3.3891664682308331E-001                 -1.9444389752342723E+000                 -1.8559913049076950E+000                 -1.5562432778557136E+000                 -1.4498387761974265E+000                 -1.2427569993952923E+000                  7.9194918191392735E+003                  3.8986973145156987E+000                  2.5028298632338446E+000                  9.7667346345002271E-001                  3.1836907047391061E+000                                        1                                        5                  1.6759711272749349E+000 
                                     160                                      729                  4.1895314518541622E+005                  3.8450091619584330E+000                  5.0000000000000000E+000                  1.5649445931438119E-002                 -9.9999999999999997E+098                 -1.2793741285965967E-003                 -1.7987429932094077E+000                 -1.7818141731493731E+000                 -1.6778271502804549E+000                 -1.6917135165920796E+000                 -1.6603153365348871E+000                  8.9506880152275862E+003                  3.9518564196435642E+000                  2.6092374189111878E+000                  9.2355903103296255E-001                  3.2899195695732266E+000                                        1                                        4                  1.7044357451014345E+000 
                                     165                                      738                  4.5216393096988852E+005                  3.8090803297013389E+000                  5.0000000000000000E+000                 -4.1187827141981515E-001                 -9.9999999999999997E+098                 -3.8691918076922616E-001                 -1.6117680633130735E+000                 -1.6367271539636628E+000                 -1.7099021951520599E+000                 -1.7789285167924280E+000                 -1.9169083457996281E+000                  1.0086108005865528E+004                  4.0037236144378543E+000                  2.7054585338931556E+000                  8.6793519893536619E-001                  3.4011672337684193E+000                                        1                                        3                  1.7329840194102586E+000 
                                     170                                      744                  4.8340773508908501E+005                  3.7890027667032355E+000                  5.0000000000000000E+000                 -9.2726836064825258E-001                 -9.9999999999999997E+098                 -8.5608518952071133E-001                 -1.3052471051678720E+000                 -1.3764302762954133E+000                 -1.5606438945777319E+000                 -1.6736028235602503E+000                 -2.0146227154644278E+000                  1.1341009222000856E+004                  4.0546517035907099E+000                  2.7890061863264499E+000                  8.0785284684630099E-001                  3.5213319379465498E+000                                        1                                        3                  1.7620506491802956E+000 
                                     175                                      751                  5.1494284729608224E+005                  3.8536307295490975E+000                  5.0000000000000000E+000                 -1.1738054003885090E+000                 -9.9999999999999997E+098                 -1.0938069994618784E+000                 -1.2365594471154580E+000                 -1.3165578480420885E+000                 -1.5719919844110244E+000                 -1.6938397661649778E+000                 -2.1237770316246509E+000                  1.2773502505378847E+004                  4.1063099975135140E+000                  2.8601459390015869E+000                  7.4010613533826153E-001                  3.6568253609626287E+000                                        1                                        5                  1.7928783171101703E+000 
                                     180                                      790                  5.5004602570207522E+005                  3.8682380615936656E+000                  5.0000000000000000E+000                 -1.5851710122761862E+000                 -9.9999999999999997E+098                 -1.4826297476116987E+000                 -9.7054289694805451E-001                 -1.0730841616125419E+000                 -1.4025284248060812E+000                 -1.5476855301618513E+000                 -2.0912110394950796E+000                  1.4494957847136056E+004                  4.1612169567187616E+000                  2.9182855636896963E+000                  6.5936202927182219E-001                  3.8183135730955073E+000                                        1                                        5                  1.8274214805710405E+000 
                                     185                                      837                  5.9083692208278389E+005                  3.9963942683163203E+000                  5.0000000000000000E+000                 -1.9541419394928505E+000                 -9.9999999999999997E+098                 -1.8329858295668926E+000                 -6.3405792459791321E-001                 -7.5521403452387115E-001                 -1.1459561254243007E+000                 -1.3118291440253163E+000                 -1.9383278861994269E+000                  1.6210469273301720E+004                  4.2097955873257193E+000                  2.9312799456363057E+000                  5.6870195903121024E-001                  3.9996337135767313E+000                                        1                                        5                  1.8619431418835088E+000 
                                     190                                      870                  6.7501289867459098E+005                  4.3674058318544295E+000                  5.0000000000000000E+000                 -2.1273008944552685E+000                 -9.9999999999999997E+098                 -1.9978520930409300E+000                 -1.7242618029929568E-001                 -3.0187498171363414E-001                 -7.2063900817172355E-001                 -8.9271841020824039E-001                 -1.5511292684088303E+000                  1.7077543859258411E+004                  4.2324254093814258E+000                  2.8158908299018259E+000                  4.6574775705255878E-001                  4.2055421175340344E+000                                        1                                        5                  1.8906166040236312E+000 
                                     195                                      879                  8.4811187104518735E+005                  4.6633478458747817E+000                  5.0000000000000000E+000                 -2.2602748185728960E+000                 -9.9999999999999997E+098                 -2.1244245847716590E+000                  9.7763050732551537E-002                 -3.8087183068685526E-002                 -4.7748116614418179E-001                 -6.5526326286400538E-001                 -1.3387466718902430E+000                  1.7775597041311335E+004                  4.2498241965968768E+000                  2.7610047071361379E+000                  4.0350712123881299E-001                  4.3300233891615258E+000                                        1                                        5                  1.9093400531309077E+000 
                                     200                                      878                  1.2594466337065271E+006                  5.0592540761129055E+000                  5.0000000000000000E+000                 -2.2470189241859155E+000                 -9.9999999999999997E+098                 -2.1118447553816218E+000                  1.1991158410199310E-001                 -1.5262584702300686E-002                 -4.5260586278452930E-001                 -6.2942673038814689E-001                 -1.3095964222396601E+000                  1.7703479817276002E+004                  4.2480586401981446E+000                  2.7468429360335689E+000                  3.9995734848499209E-001                  4.3371229346691678E+000                                        1                                        5                  1.9086367388779688E+000 
                                     205                                      873                  2.2829791503319917E+006                  5.4551603063510292E+000                  5.0000000000000000E+000                 -2.2346171398540515E+000                 -9.9999999999999997E+098                 -2.1000508227336514E+000                  1.0725627843393548E-001                 -2.7310038686464644E-002                 -4.6274475805280435E-001                 -6.3892325916269654E-001                 -1.3165409869844407E+000                  1.7637190302000658E+004                  4.2464294008906514E+000                  2.7469443445680466E+000                  4.0326653136721713E-001                  4.3305045689047175E+000                                        1                                       10                  1.9074195503537115E+000 
                                     210                                      862                  4.8298555821014680E+006                  5.8510665365891539E+000                  5.0000000000000000E+000                 -2.2110400888019530E+000                 -9.9999999999999997E+098                 -2.0776216699467920E+000                  7.3682083376181318E-002                 -5.9736335478979719E-002                 -4.9153737437653833E-001                 -6.6657383650599078E-001                 -1.3394995144636674E+000                  1.7512077163771592E+004                  4.2433376622034551E+000                  2.7509432021703089E+000                  4.1144943754274155E-001                  4.3141387565536684E+000                                        1                                       10                  1.9047186568591834E+000 
                                     215                                      849                  1.1167299144802090E+007                  6.2469727668272776E+000                  5.0000000000000000E+000                 -2.1715145125616053E+000                 -9.9999999999999997E+098                 -2.0400067616993733E+000                  2.1432589994243578E-003                 -1.2936449186280763E-001                 -5.5504816667676016E-001                 -7.2830942050393999E-001                 -1.3936315504043508E+000                  1.7304609712722395E+004                  4.2381618086851907E+000                  2.7637485014248724E+000                  4.2820379420655136E-001                  4.2806300432260489E+000                                        1                                       10                  1.8995727757058511E+000 
                                     220                                      856                  2.2229908395433981E+007                  6.3037792154510379E+000                  5.0000000000000000E+000                 -2.1198629524436474E+000                 -9.9999999999999997E+098                 -1.9908295792272785E+000                 -1.1397728214916780E-001                 -2.4301065536553668E-001                 -6.6063607084719922E-001                 -8.3180313067275558E-001                 -1.4875885893098513E+000                  1.7037514540036038E+004                  4.2314062394754348E+000                  2.7895360938371261E+000                  4.5460872883218956E-001                  4.2278201739747727E+000                                        1                                       10                  1.8919364978239948E+000 
                                     225                                      862                  3.1361565017703731E+007                  6.2394532867485273E+000                  5.0000000000000000E+000                 -2.0766427640068410E+000                 -9.9999999999999997E+098                 -1.9496388765335297E+000                 -2.1570349067328420E-001                 -3.4270737814659546E-001                 -7.5339253875026513E-001                 -9.2289996013321596E-001                 -1.5705152436992473E+000                  1.6817390766613389E+004                  4.2257586155068472E+000                  2.8129385018720501E+000                  4.7760518078682701E-001                  4.1818272700654973E+000                                        1                                       10                  1.8853750807725058E+000 
                                     230                                      865                  3.9453061793129198E+007                  6.1898297018600408E+000                  5.0000000000000000E+000                 -2.0327871410924936E+000                 -9.9999999999999997E+098                 -1.9078658202206764E+000                 -3.1524057254125415E-001                 -4.4016189341307133E-001                 -8.4375747025859593E-001                 -1.0115547909928144E+000                 -1.6507624944382928E+000                  1.6596720842444258E+004                  4.2200222892020829E+000                  2.8352110854534991E+000                  5.0021412518708064E-001                  4.1366093812649902E+000                                        1                                       10                  1.8788726218051397E+000 
                                     235                                      862                  4.6663259127871513E+007                  6.1386465178886427E+000                  5.0000000000000000E+000                 -1.9858323065754777E+000                 -9.9999999999999997E+098                 -1.8631770753641526E+000                 -4.1495776438235987E-001                 -5.3761299559368503E-001                 -9.3360296450332081E-001                 -1.0995109603236970E+000                 -1.7296049024329336E+000                  1.6363310068871466E+004                  4.2138711599244356E+000                  2.8563160283831350E+000                  5.2306885520719293E-001                  4.0908999212247661E+000                                        1                                       10                  1.8721909491925748E+000 
                                     240                                      863                  5.3073286282767199E+007                  6.0864706617233066E+000                  5.0000000000000000E+000                 -1.9347042856084724E+000                 -9.9999999999999997E+098                 -1.8145559226067973E+000                 -5.1553538611618022E-001                 -6.3568374911785530E-001                 -1.0233763900510839E+000                 -1.1871591899000211E+000                 -1.8071983005844370E+000                  1.6112497416221428E+004                  4.2071628607185811E+000                  2.8760958686898612E+000                  5.4637537377226464E-001                  4.0442868840946220E+000                                        1                                       10                  1.8652401693177021E+000 
                                     245                                      866                  5.8772854740157701E+007                  6.0363403263336792E+000                  5.0000000000000000E+000                 -1.8786888525973087E+000                 -9.9999999999999997E+098                 -1.7613741740693505E+000                 -6.1752194387300463E-001                 -7.3483662240096281E-001                 -1.1134430494091887E+000                 -1.2746614201913591E+000                 -1.8832234902718645E+000                  1.5842103800333067E+004                  4.1998128545392239E+000                  2.8944843185881255E+000                  5.7026961108011121E-001                  3.9964984094789293E+000                                        1                                       10                  1.8579639663325054E+000 
                                     250                                      867                  6.3850530727107055E+007                  5.9859342612446369E+000                  5.0000000000000000E+000                 -1.8171176333956931E+000                 -9.9999999999999997E+098                 -1.7028961392008521E+000                 -7.2162137764003620E-001                 -8.3584287183487715E-001                 -1.2044223570903818E+000                 -1.3623464359930000E+000                 -1.9585284910853049E+000                  1.5550734131098738E+004                  4.1917508963570222E+000                  2.9114956044142919E+000                  5.9489917035759798E-001                  3.9472392909239558E+000                                        1                                       10                  1.8503085608292904E+000 
                                     255                                      862                  6.8344082047750860E+007                  5.9333500877643877E+000                  5.0000000000000000E+000                 -1.7504044540898396E+000                 -9.9999999999999997E+098                 -1.6395422376465743E+000                 -8.2710473346054636E-001                 -9.3796694990381169E-001                 -1.2955782611563924E+000                 -1.4499350197093566E+000                 -2.0325652989618290E+000                  1.5240752959883113E+004                  4.1830064235812996E+000                  2.9270036750201545E+000                  6.2014215121197569E-001                  3.8967533292152003E+000                                        1                                       10                  1.8423078049254942E+000 
                                     260                                      864                  7.2320228046990722E+007                  5.8785920378092458E+000                  5.0000000000000000E+000                 -1.6793615065971281E+000                 -9.9999999999999997E+098                 -1.5720608620917704E+000                 -9.3333947351955948E-001                 -1.0406401180249172E+000                 -1.3863107349602357E+000                 -1.5369116797585718E+000                 -2.1045112055273192E+000                  1.4916900120264732E+004                  4.1736785818137907E+000                  2.9410803920466750E+000                  6.4583619326025321E-001                  3.8453652451186455E+000                                        1                                       10                  1.8340267858684853E+000 
