                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "9b2017c"                               "gfortran"                                 "13.3.0"                                       ""                                 "CRMATH"                               "20241205"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                                     bc_H                                  bc_J_bb                                     bc_J                                abs_mag_H                                abs_mag_J                                abs_mag_V                                abs_mag_B                                abs_mag_U                                     Teff                                 log_Teff                                    log_L                                    log_R                                    log_g                              num_retries                                num_iters                                     av_v 
                                       1                                      564                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.0000000000000000E+000                  1.9948559664135617E+000                 -9.9999999999999997E+098                  1.3929189406733564E+000                 -3.8124434891383387E+000                 -3.2105064633981333E+000                 -1.4381505334408515E+000                 -3.4173430014531192E-001                  6.9739073030334620E-001                  4.7147038902778822E+003                  3.6734544218121314E+000                  2.6230350090899108E+000                  1.4872618217851894E+000                  2.1625139880687732E+000                                        0                                        2                  1.4987362516834324E+000 
                                       5                                      567                  7.4416000000000014E-005                 -4.6832750158095005E+000                  5.0000000000000000E+000                  1.9941116171816020E+000                 -9.9999999999999997E+098                  1.3925330255562627E+000                 -3.8130480452177302E+000                 -3.2114694535923909E+000                 -1.4404391343322540E+000                 -3.4473764518264183E-001                  6.9304231418632112E-001                  4.7161679566082194E+003                  3.6735892632019493E+000                  2.6235745712144514E+000                  1.4872619200678248E+000                  2.1625137915035024E+000                                        0                                        2                  1.4987811791584877E+000 
                                      10                                      567                  2.5958682111999997E-004                 -4.2873687855713758E+000                  5.0000000000000000E+000                  1.9941915901583667E+000                 -9.9999999999999997E+098                  1.3925744834273357E+000                 -3.8129823268737812E+000                 -3.2113652201427505E+000                 -1.4401924817269596E+000                 -3.4441421872465394E-001                  6.9351021579949990E-001                  4.7160106390544970E+003                  3.6735747761680573E+000                  2.6235162946861661E+000                  1.4872617558714645E+000                  2.1625141198962226E+000                                        0                                        2                  1.4987763829863328E+000 
                                      15                                      567                  7.2035107872931814E-004                 -3.8914625553332525E+000                  5.0000000000000000E+000                  1.9942465434471770E+000                 -9.9999999999999997E+098                  1.3926029687878692E+000                 -3.8129368031252624E+000                 -3.2112932284659546E+000                 -1.4400226291916098E+000                 -3.4419161994660663E-001                  6.9383207155328952E-001                  4.7159025433961833E+003                  3.6735648215921368E+000                  2.6234761038712344E+000                  1.4872615696158404E+000                  2.1625144924074706E+000                                        0                                        2                  1.4987731020454165E+000 
                                      20                                      567                  1.8668799962237366E-003                 -3.4955563250951283E+000                  5.0000000000000000E+000                  1.9942852815490597E+000                 -9.9999999999999997E+098                  1.3926230464393152E+000                 -3.8129043264197402E+000                 -3.2112420913099955E+000                 -1.4399025095278666E+000                 -3.4403432724867988E-001                  6.9405931333941728E-001                  4.7158263471242626E+003                  3.6735578045073964E+000                  2.6234476179482722E+000                  1.4872613608238403E+000                  2.1625149099914713E+000                                        0                                        2                  1.4987708047755457E+000 
                                      25                                      567                  4.7198108322034473E-003                 -3.0996500948570040E+000                  5.0000000000000000E+000                  1.9943063020494856E+000                 -9.9999999999999997E+098                  1.3926339379151047E+000                 -3.8128861910964620E+000                 -3.2112138269620809E+000                 -1.4398368162232191E+000                 -3.4394847499773773E-001                  6.9418309569227921E-001                  4.7157850036608970E+003                  3.6735539970481330E+000                  2.6234319556187904E+000                  1.4872611445776258E+000                  2.1625153424839003E+000                                        0                                        2                  1.4987695788717230E+000 
                                      30                                      567                  1.1818815689988481E-002                 -2.7037438646188803E+000                  5.0000000000000000E+000                  1.9943144967198478E+000                 -9.9999999999999997E+098                  1.3926381789659554E+000                 -3.8128783560201436E+000                 -3.2112020382662516E+000                 -1.4398104407835663E+000                 -3.4391425912179940E-001                  6.9423205881620120E-001                  4.7157688900673593E+003                  3.6735525130838074E+000                  2.6234255437201184E+000                  1.4872609065569418E+000                  2.1625158185252680E+000                                        0                                        2                  1.4987691318211356E+000 
                                      35                                      567                  2.9483411457712130E-002                 -2.3078376343807561E+000                  5.0000000000000000E+000                  1.9943166386566040E+000                 -9.9999999999999997E+098                  1.3926392778935968E+000                 -3.8128748087252071E+000                 -3.2111974479622001E+000                 -1.4398020468427841E+000                 -3.4390385181874139E-001                  6.9424624339660967E-001                  4.7157646855668299E+003                  3.6735521258739512E+000                  2.6234232680274414E+000                  1.4872605431303156E+000                  2.1625165453785202E+000                                        0                                        2                  1.4987690754366207E+000 
                                      40                                      567                  7.3438578398454232E-002                 -1.9119314041426323E+000                  5.0000000000000000E+000                  1.9943166844406686E+000                 -9.9999999999999997E+098                  1.3926392771152658E+000                 -3.8128709447872713E+000                 -3.2111935374618685E+000                 -1.4397980779572952E+000                 -3.4389993081143611E-001                  6.9425004963545245E-001                  4.7157646141100768E+003                  3.6735521192932001E+000                  2.6234217041386412E+000                  1.4872597743474170E+000                  2.1625180829443176E+000                                        0                                        2                  1.4987692269998507E+000 
                                      45                                      567                  1.8281309940044158E-001                 -1.5160251739045081E+000                  5.0000000000000000E+000                  1.9943156808496050E+000                 -9.9999999999999997E+098                  1.3926386979663230E+000                 -3.8128625772159581E+000                 -3.2111855943326759E+000                 -1.4397919776770671E+000                 -3.4389501458814542E-001                  6.9425267840235527E-001                  4.7157666328578343E+003                  3.6735523052080827E+000                  2.6234187585465412E+000                  1.4872579297216031E+000                  2.1625217721959453E+000                                        0                                        2                  1.4987696578972114E+000 
                                      50                                      567                  4.5497190750010669E-001                 -1.1201189436663841E+000                  5.0000000000000000E+000                  1.9943129503049506E+000                 -9.9999999999999997E+098                  1.3926371370667934E+000                 -3.8128421263673240E+000                 -3.2111663131291666E+000                 -1.4397776964416433E+000                 -3.4388389933175789E-001                  6.9425768951832678E-001                  4.7157721141626753E+003                  3.6735528100038555E+000                  2.6234116704249493E+000                  1.4872533760692610E+000                  2.1625308795006299E+000                                        0                                        2                  1.4987707368943515E+000 
                                      55                                      567                  1.1321901128706655E+000                 -7.2421271342826010E-001                  5.0000000000000000E+000                  1.9943061076450752E+000                 -9.9999999999999997E+098                  1.3926332287079324E+000                 -3.8127913771952215E+000                 -3.2111184982580792E+000                 -1.4397424083122143E+000                 -3.4385653302888630E-001                  6.9426978491013536E-001                  4.7157858477354166E+003                  3.6735540747821420E+000                  2.6233941078200589E+000                  1.4872420652102429E+000                  2.1625535012186656E+000                                        0                                        2                  1.4987734206624208E+000 
