alpha,filter,flux,lh,logg,meta,teff,vtur,wavelength
0,Liverpool/IOO.SDSS-r,1618625.2027566,1.25,1.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1609247.4216957,1.25,2,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1602157.7079756,1.25,2.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1598098.8246623,1.25,3,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1597996.8203973,1.25,3.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1602423.7964766,1.25,4,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1618993.1341091,1.25,4.5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,1647843.5296041,1.25,5,-0.5,4250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,498148012.43796,1.25,4.5,-0.5,43000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,498916522.35305,1.25,5,-0.5,43000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,510460622.31663,1.25,4.5,-0.5,44000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,510844749.52233,1.25,5,-0.5,44000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,522811415.64937,1.25,4.5,-0.5,45000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,522657530.53157,1.25,5,-0.5,45000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2325944.2506552,1.25,0,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2321864.9730398,1.25,0.5,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2310389.5275873,1.25,1,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2295748.9139685,1.25,1.5,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2280520.2109801,1.25,2,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2267608.4492152,1.25,2.5,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2258661.5512559,1.25,3,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2255816.8127799,1.25,3.5,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2258794.6198237,1.25,4,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2267242.4522593,1.25,4.5,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,2285635.0806533,1.25,5,-0.5,4500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,535182643.68394,1.25,4.5,-0.5,46000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,534444599.77808,1.25,5,-0.5,46000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,547566289.02688,1.25,4.5,-0.5,47000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,546250881.94105,1.25,5,-0.5,47000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3147171.6008246,1.25,0,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3135462.2015151,1.25,0.5,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3117803.9634911,1.25,1,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3097582.6798703,1.25,1.5,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3077689.0192922,1.25,2,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3060249.1261739,1.25,2.5,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3047068.5480249,1.25,3,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3040936.9755858,1.25,3.5,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3042597.8081387,1.25,4,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3051100.1263976,1.25,4.5,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3066980.2108752,1.25,5,-0.5,4750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,559952408.56413,1.25,4.5,-0.5,48000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,558089825.58613,1.25,5,-0.5,48000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,572320700.10586,1.25,4.5,-0.5,49000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,569941756.9286,1.25,5,-0.5,49000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,581813041.38517,1.25,5,-0.5,50000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4112272.044219,1.25,0,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4083534.0237227,1.25,0.5,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4053057.3542355,1.25,1,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4022944.2994121,1.25,1.5,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3996048.2544052,1.25,2,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3973299.4468228,1.25,2.5,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3957159.7559338,1.25,3,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3949679.9509235,1.25,3.5,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3951419.7516007,1.25,4,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3962625.1999014,1.25,4.5,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,3981524.9705065,1.25,5,-0.5,5000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,5225712.3503562,1.25,0,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,5173855.4823848,1.25,0.5,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,5125011.2490004,1.25,1,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,5079851.7982882,1.25,1.5,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,5040453.1865715,1.25,2,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,5007398.5168592,1.25,2.5,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4985027.2402787,1.25,3,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4973684.4637219,1.25,3.5,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4976282.595786,1.25,4,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,4991866.2084461,1.25,4.5,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,5017357.3689147,1.25,5,-0.5,5250,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6480493.9229417,1.25,0,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6405228.3094866,1.25,0.5,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6336040.6720909,1.25,1,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6272983.3370598,1.25,1.5,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6216604.8290072,1.25,2,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6168896.6358612,1.25,2.5,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6133888.107799,1.25,3,-0.5,5500,2,6120.6481623918
