atmosphere,feh,filter,flux,logg,teff,wavelength
Spectrum,0,Palomar/ZTF.g,9427464.2514574,1.5,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,9293557.8410704,2,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,9146158.3022078,2.5,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,8994916.4374084,3,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,8850871.9637541,3.5,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,8723413.4936458,4,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,8612413.6778407,4.5,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,8521815.2905893,5,5750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,12599245.176954,0,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,12509545.435771,0.5,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,12372830.463759,1,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,12198845.650848,1.5,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,11997572.342556,2,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,11780942.931727,2.5,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,11557032.331158,3,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,11343704.319601,3.5,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,11148640.410914,4,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,10976793.616277,4.5,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,10836588.033582,5,6000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,15941204.866559,0.5,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,15716991.379213,1,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,15457201.379545,1.5,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,15169192.697382,2,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,14863315.076753,2.5,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,14552998.238084,3,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,14253837.103183,3.5,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,13974127.792947,4,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,13728303.089667,4.5,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,13521265.49288,5,6250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,19889349.614432,0.5,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,19633175.600266,1,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,19253542.099395,1.5,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,18851602.888177,2,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,18432590.731704,2.5,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,18009221.035879,3,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,17594942.784543,3.5,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,17205476.489489,4,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,16863381.837776,4.5,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,16571114.103802,5,6500,4746.4797383749
Spectrum,0,Palomar/ZTF.g,24233614.357974,0.5,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,24094345.103123,1,6750,4746.4797383749
