alpha,filter,flux,lh,logg,meta,teff,vtur,wavelength
0,JWST/NIRCam.F480M,8703.5837494536,1.25,0 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,8822.3519455453,1.25,0.5 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,8927.8708525823,1.25,1 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,9011.7810546013,1.25,1.5 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,9065.854772968,1.25,2 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,9084.3692804325,1.25,2.5 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,9135.969388636,1.25,3 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,9271.1780083552,1.25,3.5 log,-0.5,3500 K,2 km/s,48139.105123907
0,JWST/NIRCam.F480M,9339.4446521485,1.25,4 log,-0.5,3500 K,2 km/s,48139.105123907
